,Publisher,count,Source_new
12827,Istituto Poligrafico e Zecca Dello Stato,12,Istituto Poligrafico e Zecca Dello Stato
12828,Istituto Sperimentale per la Selvicoltura,22,Istituto Sperimentale per la Selvicoltura
12829,Istituto Sperimentale per la Zoologia Agraria,47,Istituto Sperimentale per la Zoologia Agraria
12830,Istituto Storico Italiano per il Medio Evo,8,others
12831,Istituto Superiore di Sanita,312,Istituto Superiore di Sanita
12832,"Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise ""G.Caporale""",39,"Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise ""G.Caporale"""
12833,Istituto Zooprofilattico dell'Abruzzo e del Molise,88,Istituto Zooprofilattico dell'Abruzzo e del Molise
12834,Istituto agronomico per l'Oltremare,2,others
12835,Istituto per la Storia del Risorgimento Italiano,12,Istituto per la Storia del Risorgimento Italiano
12836,Isto Cito Patologia,47,Isto Cito Patologia
12837,Ital Publication,12,Ital Publication
12838,"Italcementi SpA-Bergamo Editrice (Politec di Milano Stud e Ric n 4 1982), Milan, Italy",13,"Italcementi SpA-Bergamo Editrice (Politec di Milano Stud e Ric n 4 1982), Milan, Italy"
12839,Italian,1,others
12840,Italian Association of Chemical Engineering - AIDIC,1915,Italian Association of Chemical Engineering - AIDIC
12841,Italian Culture,4,others
12842,Italian Current Radiology,87,Italian Current Radiology
12843,Italian General Review of Dermatology,29,Italian General Review of Dermatology
12844,Italian Heart Journal,289,Italian Heart Journal
12845,Italian Heart Journal Supplement,38,Italian Heart Journal Supplement
12846,"Italian Heart Journal, Supplementi",17,"Italian Heart Journal, Supplementi"
12847,Italian Journal of Allergy and Clinical Immunology,75,Italian Journal of Allergy and Clinical Immunology
12848,Italian Journal of Anatomy and Embryology,164,Italian Journal of Anatomy and Embryology
12849,Italian Journal of Animal Science,363,Italian Journal of Animal Science
12850,Italian Journal of Biochemistry,653,Italian Journal of Biochemistry
12851,Italian Journal of Dermatology and Venereology,1,others
12852,Italian Journal of Engineering Geology and Environment,46,Italian Journal of Engineering Geology and Environment
12853,Italian Journal of Food Safety,38,Italian Journal of Food Safety
12854,Italian Journal of Gastroenterology,549,Italian Journal of Gastroenterology
12855,Italian Journal of Gastroenterology and Hepatology,110,Italian Journal of Gastroenterology and Hepatology
12856,Italian Journal of Geosciences,154,Italian Journal of Geosciences
12857,Italian Journal of Gynaecology and Obstetrics,16,Italian Journal of Gynaecology and Obstetrics
12858,Italian Journal of Medicine,89,Italian Journal of Medicine
12859,Italian Journal of Mineral and Electrolyte Metabolism,43,Italian Journal of Mineral and Electrolyte Metabolism
12860,Italian Journal of Neurological Sciences,490,Italian Journal of Neurological Sciences
12861,Italian Journal of Ophthalmology,52,Italian Journal of Ophthalmology
12862,Italian Journal of Orthopaedics and Traumatology,425,Italian Journal of Orthopaedics and Traumatology
12863,Italian Journal of Pediatrics,378,Italian Journal of Pediatrics
12864,Italian Journal of Psychiatry and Behavioural Sciences,9,others
12865,Italian Journal of Psychopathology,219,Italian Journal of Psychopathology
12866,Italian Journal of Public Health,172,Italian Journal of Public Health
12867,Italian Journal of Pure and Applied Mathematics,3,others
12868,Italian Journal of Remote Sensing / Rivista Italiana di Telerilevamento,19,Italian Journal of Remote Sensing / Rivista Italiana di Telerilevamento
12869,Italian Journal of Sports Traumatology,121,Italian Journal of Sports Traumatology
12870,Italian Journal of Surgical Sciences,269,Italian Journal of Surgical Sciences
12871,Italian Journal of Vascular and Endovascular Surgery,84,Italian Journal of Vascular and Endovascular Surgery
12872,Italian Journal of Zoology,915,Italian Journal of Zoology
12873,Italian Oral Surgery,90,Italian Oral Surgery
12874,Italian Physical Society,498,Italian Physical Society
12875,Italian Society of Allergy and Clinical Immunology,13,Italian Society of Allergy and Clinical Immunology
12876,Italian Society of Paediatric Dentistry,1,others
12877,Italian Studies,4,others
12878,Italian e-Learning Association,126,Italian e-Learning Association
12879,Italian heart journal : official journal of the Italian Federation of Cardiology,38,Italian heart journal : official journal of the Italian Federation of Cardiology
12880,Italian heart journal. Supplement : official journal of the Italian Federation of Cardiology,13,Italian heart journal. Supplement : official journal of the Italian Federation of Cardiology
12881,Italian journal of anatomy and embryology = Archivio italiano di anatomia ed embriologia,189,Italian journal of anatomy and embryology = Archivio italiano di anatomia ed embriologia
12882,Italian journal of neurological sciences,26,Italian journal of neurological sciences
12883,Italian journal of orthopaedics and traumatology,50,Italian journal of orthopaedics and traumatology
12884,Italian journal of pediatrics,18,Italian journal of pediatrics
12885,Italianist,40,Italianist
12886,Italianistica,10,others
12887,Iter,11,Iter
12888,Itinerario,4,others
12889,Iuris Universal Ediciones,11,Iuris Universal Ediciones
12890,Ius et Praxis,3,others
12891,Iustel,3,others
12892,Ivan Franko National University of Lviv,1,others
12893,Ivanovo State Power Engineering University,1,others
12894,Ivyspring International Publisher,229,Ivyspring International Publisher
12895,Izdatel'stvo Nauka,12,Izdatel'stvo Nauka
12896,Izvestiya - Atmospheric and Ocean Physics,2,others
12897,Izvestiya - Physics of the Solid Earth,2,others
12898,"Izvestiya Akademii Nauk, Seriya Geograficheskaya",1,others
12899,Izvestiya Akademii Nauk. Ser. Fizicheskaya,1,others
12900,Izvestiya Mathematics,2,others
12901,"Izvestiya, Physics of the Solid Earth",3,others
12902,"J Bone Jt Surgery Inc., Needham",2,others
12903,"J Michael Ryan Publ Inc, Andover, NJ, United States",2,others
12904,J. E. Purkyne University in Usti nad Labem,8,others
12905,J. Gabalda et Cie,2,others
12906,J.AOTs Sycamore Global Publications LLC,15,J.AOTs Sycamore Global Publications LLC
12907,J.B. Metzler,1,others
12908,J.B. Metzler'sche Verlagsbuchhandlung,1,others
12909,J.C. Baltzer AG - Scientific Publishing,70,J.C. Baltzer AG - Scientific Publishing
12910,J.C. Cotta'sche Buchhandlung Nachvolger GmbH,1,others
12911,J.CHEM.SOC.PERKIN TRANS.1,1,others
12912,J.CLIN.COMPUT.,7,others
12913,J.COMP.PHYSIOL.SER.A,3,others
12914,J.D. Sauerlander Verlag,3,others
12915,J.FRANC.OTO-RHINO-LARYNG.,2,others
12916,J.MICROPALAEONTOL.,2,others
12917,J.OPTIMIZAT.THER.APPLICAT.,1,others
12918,J.SHELLFISH RES.,1,others
12919,J.SUBMICROSC.CYTOL.PATHOL.,6,others
12920,JAAPA : official journal of the American Academy of Physician Assistants,1,others
12921,JACC: Cardiovascular Imaging,25,JACC: Cardiovascular Imaging
12922,JACC: Cardiovascular Interventions,56,JACC: Cardiovascular Interventions
12923,JACC: Heart Failure,6,others
12924,JAI Press,42,JAI Press
12925,"JAI Press, Inc., Greenwich, CT, United States",2,others
12926,JALT CALL SIG,1,others
12927,JAMA Dermatology,7,others
12928,JAMA Facial Plastic Surgery,4,others
12929,JAMA Internal Medicine,1,others
12930,JAMA Neurology,1,others
12931,JAMA Oncology,2,others
12932,JAMA Ophthalmology,1,others
12933,JAMA Otolaryngology - Head and Neck Surgery,2,others
12934,JAMA Pediatrics,2,others
12935,JAMA Psychiatry,1,others
12936,JAMA Surgery,8,others
12937,JAMA dermatology,4,others
12938,JAMA oncology,1,others
12939,JAMA: The Journal of the American Medical Association,27,JAMA: The Journal of the American Medical Association
12940,"JAOCS, Journal of the American Oil Chemists' Society",27,"JAOCS, Journal of the American Oil Chemists' Society"
12941,JAPANESE CIRCULATION JOURNAL,1,others
12942,JARO - Journal of the Association for Research in Otolaryngology,5,others
12943,JASSS,4,others
12944,JAWRA Journal of the American Water Resources Association,2,others
12945,JBIS - Journal British Interplanetary Society,1,others
12946,JBIS - Journal of the British Interplanetary Society,6,others
12947,JBIS. Journal of the British Interplanetary Society,1,others
12948,JBR-BTR,2,others
12949,JCB Mohr,1,others
12950,JCI insight,2,others
12951,JCMS: Journal of Common Market Studies,3,others
12952,JCRPE Journal of Clinical Research in Pediatric Endocrinology,1,others
12953,JDDG - Journal of the German Society of Dermatology,8,others
12954,JEC Composites Magazine,8,others
12955,"JEMTAC Journal of Emergency Medicine, Trauma and Acute Care",1,others
12956,JETP Letters,70,JETP Letters
12957,JEUR,1,others
12958,JG Press Inc.,1,others
12959,"JJAP, Minato-ku",1,others
12960,"JJAP, Tokyo",1,others
12961,JMIR Mental Health,1,others
12962,JMIR Publications Inc.,204,JMIR Publications Inc.
12963,JMIR Research Protocols,5,others
12964,JMM International Journal on Media Management,1,others
12965,JMN Medical Education Ltd,3,others
12966,JOIDES Journal,1,others
12967,JOM,7,others
12968,"JOM: Journal of The Minerals, Metals & Materials Society",1,others
12969,"JOT, Journal fuer Oberflaechentechnik",8,others
12970,JOTMI Research Group,2,others
12971,JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,1,others
12972,"JP Journal of Algebra, Number Theory and Applications",2,others
12973,JP Journal of Geometry and Topology,2,others
12974,JP Journal of Heat and Mass Transfer,3,others
12975,JPR Solutions,1,others
12976,JRAAS - Journal of the Renin-Angiotensin-Aldosterone System,17,JRAAS - Journal of the Renin-Angiotensin-Aldosterone System
12977,JRAAS Limited,5,others
12978,JSC Vidal Rus,1,others
12979,JSLS : Journal of the Society of Laparoendoscopic Surgeons / Society of Laparoendoscopic Surgeons,17,JSLS : Journal of the Society of Laparoendoscopic Surgeons / Society of Laparoendoscopic Surgeons
12980,"JSME International Journal, Series 2: Fluids Engineering, Heat Transfer, Power, Combustion, Thermophysical Properties",1,others
12981,"JSME International Journal, Series B: Fluids and Thermal Engineering",6,others
12982,"JSME International Journal, Series C: Mechanical Systems, Machine Elements and Manufacturing",3,others
12983,JSME international journal,1,others
12984,JTE Multimedia,2,others
12985,JVC/Journal of Vibration and Control,55,JVC/Journal of Vibration and Control
12986,JVE International,1,others
12987,Jackson Publishing and Distribution,3,others
12988,Jacobs Verlag,6,others
12989,Jacodesmath Institute,1,others
12990,Jaen Journal on Approximation,6,others
12991,Jagellonian University,111,Jagellonian University
12992,Jagiellonian University,22,Jagiellonian University
12993,Jagiellonian University - Institute of Philosophy,4,others
12994,Jagiellonian University Press,18,Jagiellonian University Press
12995,Jahrbuch der Osterreichischen Byzantinistik,1,others
12996,Jahrbuch fur Antike und Christentum,1,others
12997,Jahrbuch fur Regionalwissenschaft,7,others
12998,Jahrbucher fur Nationalokonomie und Statistik,1,others
12999,Jahreshefte des Osterreichischen Archaologischen Institutes in Wien,2,others
13000,Jamahiriya Medical Journal,1,others
13001,James Joyce Quarterly,1,others
13002,Jan Kochanowski University Press,19,Jan Kochanowski University Press
13003,"Jan Stanislav Institute of Slavistics, Slovak Committee of Slavists",1,others
13004,Jan-Evangelista-Purkyne-University,16,Jan-Evangelista-Purkyne-University
13005,Jangjeon Research Institute for Mathematical Sciences and Physics,1,others
13006,Janos Bolyai Mathematical Society,16,Janos Bolyai Mathematical Society
13007,Jap Sam Books,1,others
13008,Japan Academy,3,others
13009,Japan Antibiotics Research Association,5,others
13010,"Japan Architects Co., Ltd.",1,others
13011,Japan Association of Solvent Extraction,4,others
13012,Japan Atherosclerosis Society,13,Japan Atherosclerosis Society
13013,Japan Concrete Institute,2,others
13014,Japan Endocrine Society,12,Japan Endocrine Society
13015,Japan Epidemiology Association,9,others
13016,Japan Explosives Society,1,others
13017,Japan Forum,4,others
13018,Japan Gastroenterological Endoscopy Society,1,others
13019,Japan Institute of Heterocyclic Chemistry,186,Japan Institute of Heterocyclic Chemistry
13020,Japan Institute of Metals (JIM),7,others
13021,Japan International Cultural Exchange Foundation,1,others
13022,Japan Journal of Applied Mathematics,3,others
13023,Japan Journal of Industrial and Applied Mathematics,5,others
13024,Japan Journal of Logopedics and Phoniatrics,1,others
13025,Japan Laser Processing Society,8,others
13026,Japan Medical Laser Laboratory,14,Japan Medical Laser Laboratory
13027,Japan Mendel Society,3,others
13028,Japan Neurosurgical Society,4,others
13029,Japan Oil Chemists Society,24,Japan Oil Chemists Society
13030,Japan Poultry Science Association,7,others
13031,Japan Prosthodontic Society,6,others
13032,Japan Radiation Research Society,7,others
13033,Japan Scientific Societies Press,1,others
13034,Japan Section of the Regional Science Association International,2,others
13035,Japan Society for Analytical Chemistry,15,Japan Society for Analytical Chemistry
13036,Japan Society for Bioscience Biotechnology and Agrochemistry,8,others
13037,Japan Society for Occupational Health,14,Japan Society for Occupational Health
13038,Japan Society of Applied Physics,48,Japan Society of Applied Physics
13039,Japan Society of Histochemistry and Cytochemistry,3,others
13040,Japan Society of Histological Documentation,14,Japan Society of Histological Documentation
13041,Japan Society of Mechanical Engineers,7,others
13042,Japan Society of Plasma Science and Nuclear Fusion Research,10,others
13043,Japan Society of Smooth Muscle Research,2,others
13044,Japan Welding Society,1,others
13045,Japan and the World Economy,6,others
13046,Japanese Association for Coronary Artery Surgery,5,others
13047,Japanese Biochemical Society,4,others
13048,Japanese Cancer Association,2,others
13049,Japanese Circulation Journal,2,others
13050,Japanese Circulation Society,69,Japanese Circulation Society
13051,Japanese College of Cardiology (Nippon-Sinzobyo-Gakkai),32,Japanese College of Cardiology (Nippon-Sinzobyo-Gakkai)
13052,Japanese Dermatological Association,6,others
13053,Japanese Economic Review,6,others
13054,Japanese Geotechnical Society,44,Japanese Geotechnical Society
13055,Japanese Heart Journal,47,Japanese Heart Journal
13056,Japanese Journal of Applied Physics,58,Japanese Journal of Applied Physics
13057,"Japanese Journal of Applied Physics, Part 1: Regular Papers and Short Notes and Review Papers",12,"Japanese Journal of Applied Physics, Part 1: Regular Papers and Short Notes and Review Papers"
13058,Japanese Journal of Cancer Research,8,others
13059,Japanese Journal of Cancer Research GANN,2,others
13060,Japanese Journal of Clinical Oncology,15,Japanese Journal of Clinical Oncology
13061,Japanese Journal of Clinical Pharmacology and Therapeutics,2,others
13062,Japanese Journal of Infectious Diseases,4,others
13063,Japanese Journal of Legal Medicine,1,others
13064,Japanese Journal of Lung Cancer,1,others
13065,Japanese Journal of Mathematics,11,Japanese Journal of Mathematics
13066,Japanese Journal of Medical Mycology,1,others
13067,Japanese Journal of Neuropsychopharmacology,1,others
13068,Japanese Journal of Ophthalmology,7,others
13069,Japanese Journal of Pharmacology,3,others
13070,Japanese Journal of Physiology,1,others
13071,Japanese Journal of Political Science,3,others
13072,Japanese Journal of Radiology,11,Japanese Journal of Radiology
13073,Japanese Journal of Rheumatology,1,others
13074,Japanese Pharmacological Society,20,Japanese Pharmacological Society
13075,Japanese Psychological Research,4,others
13076,"Japanese Soc of Soil Mechanics & Foundation Engineering, Tokyo",1,others
13077,Japanese Society for Cancer Chemotherapy,9,others
13078,Japanese Society for Dental Materials and Devices,20,Japanese Society for Dental Materials and Devices
13079,Japanese Society for Food Science and Technology,1,others
13080,Japanese Society for Horticultural Science,5,others
13081,Japanese Society for Magnetic Resonance in Medicine,1,others
13082,Japanese Society for Plant Cell and Molecular Biology,2,others
13083,Japanese Society for Root Research,2,others
13084,Japanese Society for Spine Surgery and Related Research,1,others
13085,Japanese Society for the Study of Xenobiotics,13,Japanese Society for the Study of Xenobiotics
13086,Japanese Society of Allergology,1,others
13087,Japanese Society of Applied Entomology and Zoology,2,others
13088,Japanese Society of Biorheology,2,others
13089,Japanese Society of Breeding,1,others
13090,Japanese Society of Equine Science,1,others
13091,Japanese Society of Fish Pathology,2,others
13092,Japanese Society of Gastroenterological Surgery,1,others
13093,Japanese Society of Hypertension,12,Japanese Society of Hypertension
13094,Japanese Society of Internal Medicine,4,others
13095,Japanese Society of Microbial Ecology,6,others
13096,Japanese Society of Microscopy,1,others
13097,Japanese Society of Nuclear Medicine,1,others
13098,Japanese Society of Plant Physiologists,9,others
13099,Japanese Society of Tribologists,1,others
13100,Japanese Society of Veterinary Science,28,Japanese Society of Veterinary Science
13101,Japanese journal of clinical oncology,1,others
13102,Japanese journal of mathematics. New series,3,others
13103,Jaypee Brothers Medical Publishers (P) Ltd,100,Jaypee Brothers Medical Publishers (P) Ltd
13104,Jeff Corporation Co. Ltd,1,others
13105,Jihad Danishgahi,1,others
13106,Jinshu Xuebao/Acta Metallurgica Sinica,1,others
13107,Jiqiren/Robot,1,others
13108,Jisuan Wuli/Chinese Journal of Computational Physics,1,others
13109,Jisuanji Yanjiu yu Fazhan/Computer Research and Development,1,others
13110,Joannea - Geologie und Palaontologie,3,others
13111,"Johann Ambrosius Barth, Huthig GmbH",1,others
13112,John Benjamins Publishing Company,220,John Benjamins Publishing Company
13113,John Edmondson,1,others
13114,John Hopkins University,4,others
13115,John Hopkins University School of Hygiene and Public Health,4,others
13116,John Libbey,104,John Libbey
13117,John Libbey Eurotext,132,John Libbey Eurotext
13118,John Paul II Catholic University of Lublin,4,others
13119,John Wiley & Sons Inc,7,others
13120,"John Wiley & Sons Inc, Germany",2,others
13121,"John Wiley & Sons Inc, New York",38,"John Wiley & Sons Inc, New York"
13122,"John Wiley & Sons Inc, New York, NY, United States",260,"John Wiley & Sons Inc, New York, NY, United States"
13123,"John Wiley & Sons Inc, United States",5,others
13124,John Wiley & Sons Ltd,7,others
13125,"John Wiley & Sons Ltd, Chichester",37,"John Wiley & Sons Ltd, Chichester"
13126,"John Wiley & Sons Ltd, Chichester, United Kingdom",153,"John Wiley & Sons Ltd, Chichester, United Kingdom"
13127,John Wiley and Sons Inc,13764,John Wiley and Sons Inc
13128,John Wiley and Sons Inc.,6526,John Wiley and Sons Inc.
13129,"John Wiley and Sons Inc., New York",2,others
13130,"John Wiley and Sons Inc., New York, NY, United States",1,others
13131,John Wiley and Sons Ltd,12410,John Wiley and Sons Ltd
13132,"John Wiley and Sons Ltd, Chichester",2,others
13133,"John Wiley and Sons Ltd, Laurel",26,"John Wiley and Sons Ltd, Laurel"
13134,John Wiley and Sons Ltd.,279,John Wiley and Sons Ltd.
13135,Johns Hopkins University Press,103,Johns Hopkins University Press
13136,Johnson Matthey Public Limited Company,6,others
13137,Joint Bone Spine,27,Joint Bone Spine
13138,Joint Center on Global Change and Earth System Science of the University of Maryland and Beijing Normal University,8,others
13139,Jomard Publishing,1,others
13140,Jornal Brasileiro de Ginecologia,2,others
13141,Jornal Brasileiro de Psiquiatria,1,others
13142,Jornal de Pneumologia,2,others
13143,Josip Juraj Strossmayer University,3,others
13144,"Jossey-Bass Inc., Publishers",8,others
13145,Journal,1,others
13146,Journal (Indiana Dental Association),2,others
13147,Journal - American Water Works Association,1,others
13148,Journal - Association of Official Analytical Chemists,4,others
13149,Journal - Geological Society (London),1,others
13150,Journal - Lepidopterists' Society,1,others
13151,Journal Belge de Radiologie,10,others
13152,Journal De Physique. IV : JP,44,Journal De Physique. IV : JP
13153,Journal Drvna Industrija,5,others
13154,Journal Europeen d'Hydrologie,2,others
13155,Journal Europeen de Radiotherapie,2,others
13156,Journal Europeen des Systemes Automatises,3,others
13157,Journal Francais d'Ophtalmologie,71,Journal Francais d'Ophtalmologie
13158,Journal International de Bioethique,3,others
13159,Journal International des Sciences de la Vigne et du Vin,8,others
13160,Journal Medical Libanais,1,others
13161,Journal Of Chemical Education,1,others
13162,Journal Of Physical Chemistry,1,others
13163,Journal d'Analyse Mathematique,27,Journal d'Analyse Mathematique
13164,Journal d'Analyse Mathématique,4,others
13165,Journal d'Echographie et de Medecine Ultrasonore,4,others
13166,Journal d'Echographie et de Medecine par Ultrasons,11,Journal d'Echographie et de Medecine par Ultrasons
13167,Journal d'Urologie,37,Journal d'Urologie
13168,Journal d'Urologie et de Nephrologie,6,others
13169,Journal de Biologie Buccale,1,others
13170,Journal de Chirurgie,30,Journal de Chirurgie
13171,Journal de Chirurgie Viscerale,1,others
13172,Journal de Genetique Humaine,22,Journal de Genetique Humaine
13173,Journal de Gynecologie Obstetrique et Biologie de la Reproduction,5,others
13174,Journal de Medecine Legale Droit Medical,7,others
13175,Journal de Medecine de Strasbourg,9,others
13176,Journal de Mycologie Medicale,29,Journal de Mycologie Medicale
13177,Journal de Neuroradiologie,1,others
13178,Journal de Pediatrie et de Puericulture,1,others
13179,Journal de Pharmacie de Belgique,30,Journal de Pharmacie de Belgique
13180,Journal de Pharmacologie,18,Journal de Pharmacologie
13181,Journal de Physiologie,10,others
13182,Journal de Physique I,1,others
13183,Journal de Physique II,5,others
13184,Journal de Psychiatrie Biologique et Therapeutique,4,others
13185,Journal de Radiologie,56,Journal de Radiologie
13186,Journal de Theorie des Nombres de Bordeaux,1,others
13187,Journal de Toxicologie Medicale,2,others
13188,Journal de mecanique theorique et appliquee,6,others
13189,Journal de physique Paris,11,Journal de physique Paris
13190,Journal de physique. Lettres,3,others
13191,Journal des Economistes et des Etudes Humaines,11,Journal des Economistes et des Etudes Humaines
13192,Journal des Maladies Vasculaires,10,others
13193,Journal des Mathematiques Pures et Appliquees,116,Journal des Mathematiques Pures et Appliquees
13194,Journal des maladies vasculaires,1,others
13195,Journal for Eighteenth‐Century Studies,1,others
13196,Journal for General Philosophy of Science,2,others
13197,Journal for Geometry and Graphics,3,others
13198,Journal for Nature Conservation,24,Journal for Nature Conservation
13199,Journal for Nurses in Staff Development,2,others
13200,Journal for Research in Mathematics Education,1,others
13201,Journal for Studies in Economics and Econometrics,1,others
13202,Journal for the History of Astronomy,8,others
13203,Journal for the Scientific Study of Religion,1,others
13204,Journal for the Study of Judaism,2,others
13205,Journal for the Study of Religions and Ideologies,2,others
13206,Journal for the Study of the Old Testament,2,others
13207,Journal for the Theory of Social Behaviour,4,others
13208,Journal fur Entwicklungspolitik,1,others
13209,Journal fur Hirnforschung,31,Journal fur Hirnforschung
13210,Journal fur Kulturpflanzen,1,others
13211,Journal fur Ornithologie,2,others
13212,Journal fur Reproduktionsmedizin und Endokrinologie,1,others
13213,Journal fur Verbraucherschutz und Lebensmittelsicherheit,7,others
13214,Journal fur die Reine und Angewandte Mathematik,125,Journal fur die Reine und Angewandte Mathematik
13215,Journal für Hirnforschung,3,others
13216,Journal für Praktische Chemie/Chemiker‐Zeitung,2,others
13217,Journal in Computer Virology,2,others
13218,Journal of AAPOS,19,Journal of AAPOS
13219,Journal of AAPOS : the official publication of the American Association for Pediatric Ophthalmology and Strabismus / American Association for Pediatric Ophthalmology and Strabismus,1,others
13220,Journal of AIDS and Clinical Research,3,others
13221,Journal of AOAC International,14,Journal of AOAC International
13222,Journal of ASTM International,23,Journal of ASTM International
13223,Journal of Abdominal Surgery,11,Journal of Abdominal Surgery
13224,Journal of Abnormal Child Psychology,6,others
13225,Journal of Abnormal Psychology,1,others
13226,Journal of Access Services,1,others
13227,Journal of Accounting & Organizational Change,3,others
13228,Journal of Accounting and Organizational Change,1,others
13229,"Journal of Accounting, Auditing and Finance",1,others
13230,Journal of Acquired Immune Deficiency Syndromes,158,Journal of Acquired Immune Deficiency Syndromes
13231,Journal of Acquired Immune Deficiency Syndromes and Human Retrovirology,3,others
13232,Journal of Acupuncture and Tuina Science,1,others
13233,Journal of Addiction Medicine,5,others
13234,Journal of Addictive Diseases,17,Journal of Addictive Diseases
13235,Journal of Adhesion,14,Journal of Adhesion
13236,Journal of Adhesion Science and Technology,39,Journal of Adhesion Science and Technology
13237,Journal of Adhesive Dentistry,84,Journal of Adhesive Dentistry
13238,Journal of Adolescence,32,Journal of Adolescence
13239,Journal of Adolescent Health,19,Journal of Adolescent Health
13240,Journal of Adolescent Research,1,others
13241,Journal of Adult Development,4,others
13242,Journal of Advanced Concrete Technology,5,others
13243,Journal of Advanced Materials,8,others
13244,"Journal of Advanced Mechanical Design, Systems and Manufacturing",1,others
13245,Journal of Advanced Microscopy Research,1,others
13246,Journal of Advanced Nursing,30,Journal of Advanced Nursing
13247,Journal of Advanced Research,1,others
13248,Journal of Advanced Research in Dynamical and Control Systems,1,others
13249,Journal of Advanced Transportation,4,others
13250,Journal of Advertising Research,1,others
13251,Journal of Aerosol Medicine and Pulmonary Drug Delivery,4,others
13252,"Journal of Aerosol Medicine: Deposition, Clearance, and Effects in the Lung",4,others
13253,Journal of Aerosol Science,51,Journal of Aerosol Science
13254,"Journal of Aerospace Computing, Information and Communication",4,others
13255,Journal of Aerospace Engineering,16,Journal of Aerospace Engineering
13256,"Journal of Aerospace Engineering, Sciences and Applications",1,others
13257,Journal of Aerospace Technology and Management,9,others
13258,Journal of Affective Disorders,393,Journal of Affective Disorders
13259,Journal of African Archaeology,2,others
13260,Journal of African Earth Sciences,70,Journal of African Earth Sciences
13261,Journal of African Economies,1,others
13262,Journal of African Law,2,others
13263,Journal of African Zoology,2,others
13264,Journal of Aging Research,9,others
13265,Journal of Aging and Health,1,others
13266,Journal of Aging and Social Policy,1,others
13267,Journal of Agrarian Change,1,others
13268,Journal of Agricultural Economics,18,Journal of Agricultural Economics
13269,Journal of Agricultural Education and Extension,1,others
13270,Journal of Agricultural Engineering,2,others
13271,Journal of Agricultural Engineering Research,14,Journal of Agricultural Engineering Research
13272,Journal of Agricultural Safety and Health,6,others
13273,Journal of Agricultural Science,16,Journal of Agricultural Science
13274,Journal of Agricultural Science and Technology,2,others
13275,Journal of Agricultural and Environmental Ethics,5,others
13276,Journal of Agricultural and Food Chemistry,1563,Journal of Agricultural and Food Chemistry
13277,Journal of Agricultural and Food Industrial Organization,1,others
13278,Journal of Agricultural and Resource Economics,1,others
13279,"Journal of Agricultural, Biological, and Environmental Statistics",14,"Journal of Agricultural, Biological, and Environmental Statistics"
13280,Journal of Agriculture and Rural Development in the Tropics and Subtropics,1,others
13281,Journal of Agromedicine,3,others
13282,Journal of Agronomy,4,others
13283,Journal of Agronomy and Crop Science,19,Journal of Agronomy and Crop Science
13284,Journal of Air Transport Management,35,Journal of Air Transport Management
13285,Journal of Aircraft,17,Journal of Aircraft
13286,Journal of Alcohol and Drug Education,1,others
13287,Journal of Algebra,503,Journal of Algebra
13288,Journal of Algebra and its Applications,41,Journal of Algebra and its Applications
13289,Journal of Algebraic Combinatorics,37,Journal of Algebraic Combinatorics
13290,Journal of Algebraic Combinatorics: An International Journal,1,others
13291,Journal of Algebraic Geometry,26,Journal of Algebraic Geometry
13292,Journal of Algorithms,23,Journal of Algorithms
13293,Journal of Allergy,2,others
13294,Journal of Allergy and Clinical Immunology,102,Journal of Allergy and Clinical Immunology
13295,Journal of Allergy and Clinical Immunology: In Practice,7,others
13296,Journal of Alloys and Compounds,389,Journal of Alloys and Compounds
13297,Journal of Alternative Investments,4,others
13298,Journal of Alternative and Complementary Medicine,20,Journal of Alternative and Complementary Medicine
13299,Journal of Alzheimer's Disease,2,others
13300,Journal of Alzheimer's disease : JAD,5,others
13301,Journal of Ambient Intelligence and Humanized Computing,20,Journal of Ambient Intelligence and Humanized Computing
13302,Journal of Ambient Intelligence and Smart Environments,9,others
13303,Journal of American History,2,others
13304,Journal of American Studies,4,others
13305,Journal of Analysis and Applications,7,others
13306,Journal of Analytical Atomic Spectrometry,65,Journal of Analytical Atomic Spectrometry
13307,Journal of Analytical Chemistry,5,others
13308,Journal of Analytical Psychology,1,others
13309,Journal of Analytical Toxicology,21,Journal of Analytical Toxicology
13310,Journal of Analytical and Applied Pyrolysis,37,Journal of Analytical and Applied Pyrolysis
13311,Journal of Anatomy,233,Journal of Anatomy
13312,Journal of Andrological Sciences,35,Journal of Andrological Sciences
13313,Journal of Andrology,122,Journal of Andrology
13314,Journal of Anesthesia,7,others
13315,Journal of Anesthesia and Clinical Research,9,others
13316,Journal of Animal Breeding and Genetics,55,Journal of Animal Breeding and Genetics
13317,Journal of Animal Ecology,26,Journal of Animal Ecology
13318,Journal of Animal Physiology and Animal Nutrition,54,Journal of Animal Physiology and Animal Nutrition
13319,Journal of Animal Science,67,Journal of Animal Science
13320,Journal of Animal and Plant Sciences,2,others
13321,Journal of Animal and Veterinary Advances,29,Journal of Animal and Veterinary Advances
13322,Journal of Anthropological Archaeology,8,others
13323,Journal of Anthropological Sciences,34,Journal of Anthropological Sciences
13324,Journal of Antibiotics,20,Journal of Antibiotics
13325,Journal of Antimicrobial Chemotherapy,477,Journal of Antimicrobial Chemotherapy
